# Lane-Emden n=1.5 solution (2D)
# Generated with solve_lane_emden.py
# Points: 883
# xi_1 = 3.000000000000000e+01
# dtheta_1 = -4.009858856718875e-01
# Format: xi  theta  dtheta/dxi
4.950495049504950e-01  9.401155517098078e-01  -2.364357584099834e-01
4.980498049804980e-01  9.394042215660994e-01  -2.377365308793709e-01
5.010501050105011e-01  9.386889921815584e-01  -2.390349904182177e-01
5.040504050405040e-01  9.379698705129247e-01  -2.403311255345328e-01
5.070507050705070e-01  9.372468635513560e-01  -2.416249247779831e-01
5.100510051005100e-01  9.365199783223025e-01  -2.429163767400743e-01
5.130513051305130e-01  9.357892218853807e-01  -2.442054700543305e-01
5.160516051605161e-01  9.350546013342463e-01  -2.454921933964740e-01
5.190519051905190e-01  9.343161237964676e-01  -2.467765354846026e-01
5.220522052205220e-01  9.335737964333972e-01  -2.480584850793667e-01
5.250525052505250e-01  9.328276264400446e-01  -2.493380309841456e-01
5.280528052805280e-01  9.320776210449465e-01  -2.506151620452220e-01
5.310531053105311e-01  9.313237875100392e-01  -2.518898671519560e-01
5.340534053405340e-01  9.305661331305276e-01  -2.531621352369584e-01
5.370537053705370e-01  9.298046652347560e-01  -2.544319552762615e-01
5.400540054005400e-01  9.290393911840773e-01  -2.556993162894911e-01
5.430543054305430e-01  9.282703183727220e-01  -2.569642073400347e-01
5.460546054605461e-01  9.274974542276667e-01  -2.582266175352115e-01
5.490549054905490e-01  9.267208062085022e-01  -2.594865360264387e-01
5.520552055205520e-01  9.259403818073011e-01  -2.607439520093983e-01
5.550555055505551e-01  9.251561885484848e-01  -2.619988547242024e-01
5.580558055805580e-01  9.243682339886901e-01  -2.632512334555569e-01
5.610561056105611e-01  9.235765257166354e-01  -2.645010775329250e-01
5.640564056405640e-01  9.227810713529863e-01  -2.657483763306884e-01
5.670567056705670e-01  9.219818785502210e-01  -2.669931192683081e-01
5.700570057005701e-01  9.211789549924944e-01  -2.682352958104842e-01
5.730573057305730e-01  9.203723083955033e-01  -2.694748954673135e-01
5.760576057605760e-01  9.195619465063496e-01  -2.707119077944471e-01
5.790579057905790e-01  9.187478771034030e-01  -2.719463223932462e-01
5.820582058205820e-01  9.179301079961653e-01  -2.731781289109362e-01
5.850585058505851e-01  9.171086470251312e-01  -2.744073170407609e-01
5.880588058805880e-01  9.162835020616512e-01  -2.756338765221340e-01
5.910591059105910e-01  9.154546810077928e-01  -2.768577971407906e-01
5.940594059405940e-01  9.146221917962009e-01  -2.780790687289363e-01
5.970597059705970e-01  9.137860423899590e-01  -2.792976811653961e-01
6.000600060006001e-01  9.129462407824485e-01  -2.805136243757611e-01
6.030603060306030e-01  9.121027949972088e-01  -2.817268883325347e-01
6.060606060606060e-01  9.112557130877961e-01  -2.829374630552769e-01
6.090609060906090e-01  9.104050031376418e-01  -2.841453386107478e-01
6.120612061206120e-01  9.095506732599108e-01  -2.853505051130488e-01
6.150615061506151e-01  9.086927315973592e-01  -2.865529527237642e-01
6.180618061806180e-01  9.078311863221912e-01  -2.877526716520997e-01
6.210621062106210e-01  9.069660456359161e-01  -2.889496521550202e-01
6.240624062406240e-01  9.060973177692043e-01  -2.901438845373872e-01
6.270627062706270e-01  9.052250109817432e-01  -2.913353591520926e-01
6.300630063006301e-01  9.043491335620922e-01  -2.925240664001940e-01
6.330633063306330e-01  9.034696938275382e-01  -2.937099967310456e-01
6.360636063606360e-01  9.025867001239489e-01  -2.948931406424302e-01
6.390639063906390e-01  9.017001608256277e-01  -2.960734886806883e-01
6.420642064206420e-01  9.008100843351666e-01  -2.972510314408462e-01
6.450645064506451e-01  8.999164790832993e-01  -2.984257595667431e-01
6.480648064806480e-01  8.990193535287535e-01  -2.995976637511556e-01
6.510651065106510e-01  8.981187161581031e-01  -3.007667347359223e-01
6.540654065406540e-01  8.972145754856198e-01  -3.019329633120656e-01
6.570657065706570e-01  8.963069400531241e-01  -3.030963403199127e-01
6.600660066006601e-01  8.953958184298356e-01  -3.042568566492149e-01
6.630663066306630e-01  8.944812192122241e-01  -3.054145032392657e-01
6.660666066606660e-01  8.935631510238582e-01  -3.065692710790168e-01
6.690669066906690e-01  8.926416225152550e-01  -3.077211512071932e-01
6.720672067206720e-01  8.917166423637292e-01  -3.088701347124063e-01
6.750675067506751e-01  8.907882192732407e-01  -3.100162127332659e-01
6.780678067806780e-01  8.898563619742431e-01  -3.111593764584900e-01
6.810681068106810e-01  8.889210792236976e-01  -3.122996171275823e-01
6.840684068406840e-01  8.879823798049032e-01  -3.134369260306945e-01
6.870687068706870e-01  8.870402725270776e-01  -3.145712945079185e-01
6.900690069006901e-01  8.860947662253346e-01  -3.157027139499483e-01
6.930693069306930e-01  8.851458697605344e-01  -3.168311757981874e-01
6.960696069606960e-01  8.841935920191324e-01  -3.179566715448571e-01
6.990699069906990e-01  8.832379419130272e-01  -3.190791927331009e-01
7.020702070207020e-01  8.822789283794094e-01  -3.201987309570892e-01
7.050705070507051e-01  8.813165603806086e-01  -3.213152778621223e-01
7.080708070807080e-01  8.803508469039414e-01  -3.224288251447321e-01
7.110711071107110e-01  8.793817969615576e-01  -3.235393645527825e-01
7.140714071407140e-01  8.784094195902872e-01  -3.246468878855686e-01
7.170717071707170e-01  8.774337238514867e-01  -3.257513869939151e-01
7.200720072007201e-01  8.764547188308842e-01  -3.268528537802723e-01
7.230723072307230e-01  8.754724136384260e-01  -3.279512801988123e-01
7.260726072607260e-01  8.744868174081205e-01  -3.290466582555226e-01
7.290729072907290e-01  8.734979392978840e-01  -3.301389800082996e-01
7.320732073207320e-01  8.725057884893843e-01  -3.312282375670398e-01
7.350735073507351e-01  8.715103741878857e-01  -3.323144230937304e-01
7.380738073807380e-01  8.705117056220918e-01  -3.333975288025386e-01
7.410741074107410e-01  8.695097920439899e-01  -3.344775469598993e-01
7.440744074407440e-01  8.685046427286935e-01  -3.355544698846019e-01
7.470747074707470e-01  8.674962669742856e-01  -3.366282899478754e-01
7.500750075007501e-01  8.664846741016610e-01  -3.376989995734727e-01
7.530753075307530e-01  8.654698734543685e-01  -3.387665912377535e-01
7.560756075607560e-01  8.644518743984537e-01  -3.398310574697657e-01
7.590759075907590e-01  8.634306863222995e-01  -3.408923908513257e-01
7.620762076207620e-01  8.624063186364683e-01  -3.419505840170972e-01
7.650765076507651e-01  8.613787807735432e-01  -3.430056296546697e-01
7.680768076807680e-01  8.603480821879688e-01  -3.440575205046340e-01
7.710771077107710e-01  8.593142323558917e-01  -3.451062493606579e-01
7.740774077407740e-01  8.582772407750010e-01  -3.461518090695603e-01
7.770777077707770e-01  8.572371169643692e-01  -3.471941925313833e-01
7.800780078007801e-01  8.561938704642911e-01  -3.482333926994640e-01
7.830783078307830e-01  8.551475108361239e-01  -3.492694025805043e-01
7.860786078607860e-01  8.540980476621276e-01  -3.503022152346400e-01
7.890789078907890e-01  8.530454905453029e-01  -3.513318237755080e-01
7.920792079207920e-01  8.519898491092311e-01  -3.523582213703128e-01
7.950795079507951e-01  8.509311329979135e-01  -3.533814012398911e-01
7.980798079807980e-01  8.498693518756086e-01  -3.544013566587760e-01
8.010801080108010e-01  8.488045154266727e-01  -3.554180809552589e-01
8.040804080408041e-01  8.477366333553961e-01  -3.564315675114508e-01
8.070807080708070e-01  8.466657153858431e-01  -3.574418097633419e-01
8.100810081008101e-01  8.455917712616889e-01  -3.584488012008608e-01
8.130813081308130e-01  8.445148107460582e-01  -3.594525353679305e-01
8.160816081608160e-01  8.434348436213620e-01  -3.604530058625257e-01
8.190819081908191e-01  8.423518796891362e-01  -3.614502063367265e-01
8.220822082208220e-01  8.412659287698782e-01  -3.624441304967720e-01
8.250825082508251e-01  8.401770007028848e-01  -3.634347721031126e-01
8.280828082808280e-01  8.390851053460892e-01  -3.644221249704605e-01
8.310831083108310e-01  8.379902525758973e-01  -3.654061829678391e-01
8.340834083408341e-01  8.368924522870261e-01  -3.663869400186314e-01
8.370837083708370e-01  8.357917143923392e-01  -3.673643901006267e-01
8.400840084008401e-01  8.346880488226842e-01  -3.683385272460664e-01
8.430843084308430e-01  8.335814655267292e-01  -3.693093455416878e-01
8.460846084608460e-01  8.324719744707991e-01  -3.702768391287677e-01
8.490849084908491e-01  8.313595856387125e-01  -3.712410022031636e-01
8.520852085208520e-01  8.302443090316177e-01  -3.722018290153539e-01
8.550855085508551e-01  8.291261546678292e-01  -3.731593138704777e-01
8.580858085808580e-01  8.280051325826642e-01  -3.741134511283718e-01
8.610861086108610e-01  8.268812528282780e-01  -3.750642352036074e-01
8.640864086408641e-01  8.257545254735009e-01  -3.760116605655255e-01
8.670867086708670e-01  8.246249606036745e-01  -3.769557217382701e-01
8.700870087008701e-01  8.234925683204868e-01  -3.778964133008215e-01
8.730873087308730e-01  8.223573587418090e-01  -3.788337298870266e-01
8.760876087608760e-01  8.212193420015316e-01  -3.797676661856297e-01
8.790879087908791e-01  8.200785282493996e-01  -3.806982169403005e-01
8.820882088208820e-01  8.189349276508495e-01  -3.816253769496614e-01
8.850885088508851e-01  8.177885503868447e-01  -3.825491410673137e-01
8.880888088808880e-01  8.166394066537117e-01  -3.834695042018619e-01
8.910891089108910e-01  8.154875066629756e-01  -3.843864613169373e-01
8.940894089408941e-01  8.143328606411971e-01  -3.853000074312198e-01
8.970897089708970e-01  8.131754788298078e-01  -3.862101376184588e-01
9.000900090009001e-01  8.120153714849463e-01  -3.871168470074922e-01
9.030903090309030e-01  8.108525488772949e-01  -3.880201307822644e-01
9.060906090609060e-01  8.096870212919147e-01  -3.889199841818438e-01
9.090909090909091e-01  8.085187990280831e-01  -3.898164025004371e-01
9.120912091209120e-01  8.073478923991290e-01  -3.907093810874041e-01
9.150915091509151e-01  8.061743117322695e-01  -3.915989153472698e-01
9.180918091809180e-01  8.049980673684465e-01  -3.924850007397366e-01
9.210921092109210e-01  8.038191696621628e-01  -3.933676327796936e-01
9.240924092409241e-01  8.026376289813189e-01  -3.942468070372259e-01
9.270927092709270e-01  8.014534557070492e-01  -3.951225191376216e-01
9.300930093009301e-01  8.002666602335595e-01  -3.959947647613782e-01
9.330933093309330e-01  7.990772529678378e-01  -3.968635396443017e-01
9.360936093609360e-01  7.978852443287195e-01  -3.977288395781138e-01
9.390939093909391e-01  7.966906447482307e-01  -3.985906604093284e-01
9.420942094209420e-01  7.954934646709484e-01  -3.994489980395726e-01
9.450945094509451e-01  7.942937145536475e-01  -4.003038484257289e-01
9.480948094809480e-01  7.930914048651369e-01  -4.011552075799350e-01
9.510951095109510e-01  7.918865460860951e-01  -4.020030715695834e-01
9.540954095409541e-01  7.906791487089070e-01  -4.028474365173189e-01
9.570957095709570e-01  7.894692232374988e-01  -4.036882986010352e-01
9.600960096009601e-01  7.882567801871742e-01  -4.045256540538710e-01
9.630963096309630e-01  7.870418300844498e-01  -4.053594991642042e-01
9.660966096609660e-01  7.858243834668909e-01  -4.061898302756444e-01
9.690969096909691e-01  7.846044508829466e-01  -4.070166437870260e-01
9.720972097209720e-01  7.833820428917855e-01  -4.078399361523980e-01
9.750975097509750e-01  7.821571700631306e-01  -4.086597038810145e-01
9.780978097809780e-01  7.809298429770948e-01  -4.094759435373224e-01
9.810981098109810e-01  7.797000722240164e-01  -4.102886517409492e-01
9.840984098409841e-01  7.784678684042933e-01  -4.110978251666889e-01
9.870987098709870e-01  7.772332421282191e-01  -4.119034605444872e-01
9.900990099009900e-01  7.759962040158174e-01  -4.127055546594249e-01
9.930993099309930e-01  7.747567646966774e-01  -4.135041043517009e-01
9.960996099609960e-01  7.735149348097885e-01  -4.142991065166136e-01
9.990999099909991e-01  7.722707250033755e-01  -4.150905581045412e-01
1.002100210021002e+00  7.710241459347335e-01  -4.158784561209208e-01
1.005100510051005e+00  7.697752082700628e-01  -4.166627976262264e-01
1.008100810081008e+00  7.685239226843045e-01  -4.174435797359461e-01
1.011101110111011e+00  7.672702998609743e-01  -4.182207996205577e-01
1.014101410141014e+00  7.660143504919987e-01  -4.189944545055030e-01
1.017101710171017e+00  7.647560852775496e-01  -4.197645416711617e-01
1.020102010201020e+00  7.634955149258792e-01  -4.205310584528234e-01
1.023102310231023e+00  7.622326501531557e-01  -4.212940022406590e-01
1.026102610261026e+00  7.609675016832975e-01  -4.220533704796908e-01
1.029102910291029e+00  7.597000802478098e-01  -4.228091606697613e-01
1.032103210321032e+00  7.584303965856183e-01  -4.235613703655011e-01
1.035103510351035e+00  7.571584614429061e-01  -4.243099971762954e-01
1.038103810381038e+00  7.558842855729482e-01  -4.250550387662500e-01
1.041104110411041e+00  7.546078797359472e-01  -4.257964928541555e-01
1.044104410441044e+00  7.533292546988690e-01  -4.265343572134506e-01
1.047104710471047e+00  7.520484212352785e-01  -4.272686296721845e-01
1.050105010501050e+00  7.507653901251756e-01  -4.279993081129778e-01
1.053105310531053e+00  7.494801721548306e-01  -4.287263904729830e-01
1.056105610561056e+00  7.481927781166209e-01  -4.294498747438428e-01
1.059105910591059e+00  7.469032188088665e-01  -4.301697589716486e-01
1.062106210621062e+00  7.456115050356665e-01  -4.308860412568967e-01
1.065106510651065e+00  7.443176476067365e-01  -4.315987197544439e-01
1.068106810681068e+00  7.430216573372432e-01  -4.323077926734629e-01
1.071107110711071e+00  7.417235450476430e-01  -4.330132582773945e-01
1.074107410741074e+00  7.404233215635179e-01  -4.337151148839011e-01
1.077107710771077e+00  7.391209977154125e-01  -4.344133608648174e-01
1.080108010801080e+00  7.378165843386721e-01  -4.351079946461005e-01
1.083108310831083e+00  7.365100922732790e-01  -4.357990147077796e-01
1.086108610861086e+00  7.352015323636907e-01  -4.364864195839036e-01
1.089108910891089e+00  7.338909154586775e-01  -4.371702078624883e-01
1.092109210921092e+00  7.325782524111605e-01  -4.378503781854621e-01
1.095109510951095e+00  7.312635540780502e-01  -4.385269292486113e-01
1.098109810981098e+00  7.299468313200839e-01  -4.391998598015232e-01
1.101110111011101e+00  7.286280950016653e-01  -4.398691686475297e-01
1.104110411041104e+00  7.273073559907027e-01  -4.405348546436481e-01
1.107110711071107e+00  7.259846251584484e-01  -4.411969167005225e-01
1.110111011101110e+00  7.246599133793382e-01  -4.418553537823627e-01
1.113111311131113e+00  7.233332315308303e-01  -4.425101649068832e-01
1.116111611161116e+00  7.220045904932456e-01  -4.431613491452404e-01
1.119111911191119e+00  7.206740011496078e-01  -4.438089056219693e-01
1.122112211221122e+00  7.193414743854833e-01  -4.444528335149184e-01
1.125112511251125e+00  7.180070210888229e-01  -4.450931320551846e-01
1.128112811281128e+00  7.166706521498009e-01  -4.457298005270461e-01
1.131113111311131e+00  7.153323784606580e-01  -4.463628382678949e-01
1.134113411341134e+00  7.139922109155419e-01  -4.469922446681680e-01
1.137113711371137e+00  7.126501604103492e-01  -4.476180191712777e-01
1.140114011401140e+00  7.113062378425679e-01  -4.482401612735404e-01
1.143114311431143e+00  7.099604541111191e-01  -4.488586705241052e-01
1.146114611461146e+00  7.086128201162003e-01  -4.494735465248811e-01
1.149114911491149e+00  7.072633467591281e-01  -4.500847889304627e-01
1.152115211521152e+00  7.059120449421820e-01  -4.506923974480556e-01
1.155115511551155e+00  7.045589255684477e-01  -4.512963718374006e-01
1.158115811581158e+00  7.032039995416618e-01  -4.518967119106966e-01
1.161116111611161e+00  7.018472777660552e-01  -4.524934175325226e-01
1.164116411641164e+00  7.004887711461990e-01  -4.530864886197593e-01
1.167116711671167e+00  6.991284905868492e-01  -4.536759251415086e-01
1.170117011701170e+00  6.977664469927921e-01  -4.542617271190129e-01
1.173117311731173e+00  6.964026512686906e-01  -4.548438946255735e-01
1.176117611761176e+00  6.950371143189303e-01  -4.554224277864671e-01
1.179117911791179e+00  6.936698470474665e-01  -4.559973267788626e-01
1.182118211821182e+00  6.923008603576706e-01  -4.565685918317355e-01
1.185118511851185e+00  6.909301651521785e-01  -4.571362232257829e-01
1.188118811881188e+00  6.895577723327387e-01  -4.577002212933357e-01
1.191119111911191e+00  6.881836928000595e-01  -4.582605864182716e-01
1.194119411941194e+00  6.868079374536590e-01  -4.588173190359258e-01
1.197119711971197e+00  6.854305171917137e-01  -4.593704196330016e-01
1.200120012001200e+00  6.840514429109086e-01  -4.599198887474795e-01
1.203120312031203e+00  6.826707255062872e-01  -4.604657269685250e-01
