# Lane-Emden n=1.5 solution (3D)
# Generated with solve_lane_emden.py
# Points: 1218
# xi_1 = 3.000000000000000e+01
# dtheta_1 = -2.035673450691322e-01
# Format: xi  theta  dtheta/dxi
0.000000000000000e+00  1.000000000000000e+00  0.000000000000000e+00
3.000300030003000e-03  9.999984997009659e-01  -1.000098658755755e-03
6.000600060006000e-03  9.999939988160264e-01  -2.000189216793745e-03
9.000900090008999e-03  9.999864973816399e-01  -3.000263569340576e-03
1.200120012001200e-02  9.999759954585814e-01  -4.000313615113281e-03
1.500150015001500e-02  9.999624931319328e-01  -5.000331252561405e-03
1.800180018001800e-02  9.999459905110811e-01  -6.000308380384066e-03
2.100210021002100e-02  9.999264877297201e-01  -7.000236898084882e-03
2.400240024002400e-02  9.999039849458461e-01  -8.000108705798909e-03
2.700270027002700e-02  9.998784823417556e-01  -8.999915704513466e-03
3.000300030003000e-02  9.998499801240438e-01  -9.999649796222138e-03
3.300330033003300e-02  9.998184785236005e-01  -1.099930288398789e-02
3.600360036003600e-02  9.997839777956067e-01  -1.199886687207865e-02
3.900390039003900e-02  9.997464782195313e-01  -1.299833366612085e-02
4.200420042004200e-02  9.997059800991276e-01  -1.399769517324688e-02
4.500450045004500e-02  9.996624837624248e-01  -1.499694330202286e-02
4.800480048004800e-02  9.996159895617294e-01  -1.599606996286555e-02
5.100510051005100e-02  9.995664978736143e-01  -1.699506706793444e-02
5.400540054005400e-02  9.995140090989170e-01  -1.799392653137766e-02
5.700570057005700e-02  9.994585236627316e-01  -1.899264026939820e-02
6.000600060006001e-02  9.994000420143996e-01  -1.999120020027086e-02
6.300630063006300e-02  9.993385646275120e-01  -2.098959824477042e-02
6.600660066006600e-02  9.992740919998925e-01  -2.198782632596515e-02
6.900690069006900e-02  9.992066246535958e-01  -2.298587636952149e-02
7.200720072007200e-02  9.991361631348993e-01  -2.398374030380998e-02
7.500750075007501e-02  9.990627080142893e-01  -2.498141005987082e-02
7.800780078007800e-02  9.989862598864588e-01  -2.597887757170991e-02
8.100810081008100e-02  9.989068193703006e-01  -2.697613477646239e-02
8.400840084008400e-02  9.988243871088889e-01  -2.797317361429829e-02
8.700870087008700e-02  9.987389637694766e-01  -2.896998602869089e-02
9.000900090009001e-02  9.986505500434860e-01  -2.996656396656732e-02
9.300930093009301e-02  9.985591466464945e-01  -3.096289937833381e-02
9.600960096009600e-02  9.984647543182200e-01  -3.195898421792080e-02
9.900990099009900e-02  9.983673738225176e-01  -3.295481044306155e-02
1.020102010201020e-01  9.982670059473741e-01  -3.395037001554740e-02
1.050105010501050e-01  9.981636515048794e-01  -3.494565490098022e-02
1.080108010801080e-01  9.980573113312230e-01  -3.594065706909131e-02
1.110111011101110e-01  9.979479862866828e-01  -3.693536849387472e-02
1.140114011401140e-01  9.978356772556140e-01  -3.792978115373187e-02
1.170117011701170e-01  9.977203851464316e-01  -3.892388703152975e-02
1.200120012001200e-01  9.976021108915933e-01  -3.991767811465013e-02
1.230123012301230e-01  9.974808554475850e-01  -4.091114639510712e-02
1.260126012601260e-01  9.973566197949149e-01  -4.190428386981070e-02
1.290129012901290e-01  9.972294049381109e-01  -4.289708254087631e-02
1.320132013201320e-01  9.970992119056752e-01  -4.388953441524017e-02
1.350135013501350e-01  9.969660417500852e-01  -4.488163150505861e-02
1.380138013801380e-01  9.968298955477742e-01  -4.587336582777572e-02
1.410141014101410e-01  9.966907743991206e-01  -4.686472940629852e-02
1.440144014401440e-01  9.965486794284312e-01  -4.785571426912712e-02
1.470147014701470e-01  9.964036117839230e-01  -4.884631245044034e-02
1.500150015001500e-01  9.962555726377015e-01  -4.983651599016514e-02
1.530153015301530e-01  9.961045631857404e-01  -5.082631693405836e-02
1.560156015601560e-01  9.959505846478641e-01  -5.181570733382908e-02
1.590159015901590e-01  9.957936382677355e-01  -5.280467924732986e-02
1.620162016201620e-01  9.956337253128503e-01  -5.379322473884550e-02
1.650165016501650e-01  9.954708470745183e-01  -5.478133587921268e-02
1.680168016801680e-01  9.953050048678010e-01  -5.576900474537864e-02
1.710171017101710e-01  9.951362000315319e-01  -5.675622342103449e-02
1.740174017401740e-01  9.949644339282810e-01  -5.774298399655139e-02
1.770177017701770e-01  9.947897079443402e-01  -5.872927856915129e-02
1.800180018001800e-01  9.946120234897052e-01  -5.971509924305259e-02
1.830183018301830e-01  9.944313819980549e-01  -6.070043812958584e-02
1.860186018601860e-01  9.942477849267272e-01  -6.168528734728956e-02
1.890189018901890e-01  9.940612337566946e-01  -6.266963902199693e-02
1.920192019201920e-01  9.938717299925396e-01  -6.365348528692347e-02
1.950195019501950e-01  9.936792751624296e-01  -6.463681828276636e-02
1.980198019801980e-01  9.934838708180957e-01  -6.561963015782586e-02
