# P_1e19: Column 1 = n_H [cm^-3], Column 2 = P
1.000000e+06 1.000000e+09
7.848441e+05 7.828240e+08
6.043861e+05 6.435695e+08
4.743488e+05 5.334225e+08
3.652826e+05 4.530861e+08
2.866899e+05 3.634783e+08
2.207717e+05 2.915924e+08
1.732714e+05 2.264101e+08
1.334314e+05 1.715465e+08
1.047228e+05 1.342907e+08
8.064405e+04 1.017495e+08
6.329301e+04 7.772535e+07
4.874015e+04 6.035070e+07
3.825341e+04 4.572654e+07
2.945787e+04 3.380810e+07
2.311983e+04 2.582566e+07
1.780393e+04 1.909430e+07
1.397331e+04 1.400270e+07
1.076045e+04 1.035295e+07
8.445272e+03 7.654498e+06
6.503464e+03 5.522498e+06
5.104205e+03 4.184289e+06
3.930603e+03 3.093671e+06
3.084910e+03 2.287318e+06
2.375602e+03 1.733056e+06
1.864477e+03 1.313102e+06
1.435781e+03 9.949120e+05
1.126864e+03 7.600029e+05
8.677659e+02 5.901126e+05
6.810609e+02 4.619543e+05
5.244657e+02 3.616289e+05
4.116238e+02 2.807908e+05
3.169798e+02 2.252582e+05
2.487797e+02 1.807084e+05
1.906702e+02 1.449693e+05
1.503590e+02 1.201578e+05
1.152384e+02 1.012318e+05
9.087488e+01 8.883914e+04
6.964852e+01 7.732988e+04
5.492352e+01 6.898012e+04
4.209460e+01 6.514968e+04
3.303769e+01 6.514968e+04
2.544139e+01 6.731167e+04
1.996752e+01 7.484611e+04
1.537642e+01 9.104119e+04
1.206809e+01 1.201578e+05
9.293296e+00 1.625172e+05
7.293788e+00 2.127496e+05
5.616739e+00 2.587841e+05
4.325291e+00 2.651985e+05
3.394679e+00 2.327334e+05
2.614146e+00 1.867052e+05
2.051697e+00 1.380412e+05
1.579953e+00 1.012318e+05
1.240017e+00 7.484611e+04
9.549019e-01 5.399930e+04
7.494491e-01 3.992460e+04
5.771294e-01 2.857031e+04
4.529566e-01 2.061265e+04
3.488090e-01 1.524005e+04
2.737607e-01 1.090588e+04
2.108153e-01 8.063305e+03
1.654571e-01 5.770154e+03
1.274138e-01 4.266187e+03
1.000000e-01 3.077930e+03
