# T_1e19: Column 1 = n_H [cm^-3], Column 2 = T
1.000000e+06 1.000000e+05
7.848441e+05 9.170660e+04
6.043861e+05 8.354277e+04
4.743488e+05 7.460027e+04
3.652826e+05 6.706010e+04
2.866899e+05 5.988192e+04
2.207717e+05 5.602387e+04
1.732714e+05 5.347210e+04
1.334314e+05 5.206648e+04
1.047228e+05 5.103656e+04
8.064405e+04 5.002702e+04
6.329301e+04 5.002702e+04
4.874015e+04 5.002702e+04
3.825341e+04 4.871196e+04
2.945787e+04 4.871196e+04
2.311983e+04 4.871196e+04
1.780393e+04 4.774840e+04
1.397331e+04 4.774840e+04
1.076045e+04 4.680389e+04
8.445272e+03 4.557356e+04
6.503464e+03 4.349778e+04
5.104205e+03 4.263736e+04
3.930603e+03 4.069532e+04
3.084910e+03 3.910127e+04
2.375602e+03 3.732029e+04
1.864477e+03 3.562043e+04
1.435781e+03 3.332549e+04
1.126864e+03 3.117841e+04
8.677659e+02 2.916966e+04
6.810609e+02 2.729032e+04
5.244657e+02 2.536260e+04
4.116238e+02 2.325918e+04
3.169798e+02 2.076949e+04
2.487797e+02 1.904699e+04
1.906702e+02 1.700819e+04
1.503590e+02 1.478838e+04
1.152384e+02 1.294420e+04
9.087488e+01 1.110588e+04
6.964852e+01 9.278164e+03
5.492352e+01 7.547478e+03
4.209460e+01 6.058390e+03
3.303769e+01 4.610780e+03
2.544139e+01 3.371615e+03
1.996752e+01 2.291325e+03
1.537642e+01 1.496173e+03
1.206809e+01 9.140174e+02
9.293296e+00 5.329434e+02
7.293788e+00 3.255770e+02
5.616739e+00 2.125929e+02
4.325291e+00 1.585949e+02
3.394679e+00 1.324946e+02
2.614146e+00 1.206998e+02
2.051697e+00 1.159719e+02
1.579953e+00 1.129234e+02
1.240017e+00 1.106896e+02
9.549019e-01 1.085001e+02
7.494491e-01 1.056480e+02
5.771294e-01 1.056480e+02
4.529566e-01 1.035582e+02
3.488090e-01 1.035582e+02
2.737607e-01 1.008359e+02
2.108153e-01 1.008359e+02
1.654571e-01 9.884132e+01
1.274138e-01 9.884132e+01
1.000000e-01 9.884132e+01
