  400    0.40000
 0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 2.50626566e-03  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 5.01253133e-03  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 7.51879699e-03  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 1.00250627e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 1.25313283e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 1.50375940e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 1.75438596e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 2.00501253e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 2.25563910e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 2.50626566e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 2.75689223e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 3.00751880e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 3.25814536e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 3.50877193e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 3.75939850e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 4.01002506e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 4.26065163e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 4.51127820e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 4.76190476e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 5.01253133e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 5.26315789e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 5.51378446e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 5.76441103e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 6.01503759e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 6.26566416e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 6.51629073e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 6.76691729e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 7.01754386e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 7.26817043e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 7.51879699e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 7.76942356e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 8.02005013e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 8.27067669e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 8.52130326e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 8.77192982e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 9.02255639e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 9.27318296e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 9.52380952e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 9.77443609e-02  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 1.00250627e-01  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 1.02756892e-01  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 1.05263158e-01  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 1.07769424e-01  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 1.10275689e-01  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 1.12781955e-01  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
 1.15288221e-01  1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e+00
