x,p,rho,vx
-0.7812998532106479,0.021749571763925484,0.05163896240388253,-0.9188195867488392
-0.7584383148453513,0.02624325483411203,0.08284445429244268,-0.8907550546414628
-0.7287333070727543,0.02919235614217968,0.1065852380456735,-0.8562589118709324
-0.7074002960362445,0.03809604411600863,0.13541603651783324,-0.8323504975075658
-0.6879771127734997,0.04451219061854559,0.15820259145496235,-0.8098400788301324
-0.6702423736091326,0.05258695310521038,0.17728220345604215,-0.7902403466178478
-0.6534426873968656,0.06083015552702676,0.19379093631149605,-0.7713877373533866
-0.637434105678843,0.07053883688748913,0.20809851323382952,-0.7537104246580049
-0.6218255341700655,0.08057820055801018,0.22245685389495293,-0.7360863532402857
-0.6069676626010752,0.0905278153149125,0.23673836789716085,-0.7190235460590806
-0.5924810399296285,0.1003082895378126,0.25063258708213215,-0.7013740949120261
-0.5784721117397338,0.11057767634668586,0.2652629274948791,-0.6845796387968222
-0.5649780298501553,0.12107469853401252,0.2801249235066032,-0.6679076664970446
-0.5518928428344025,0.1318128212366198,0.29481727662148033,-0.6511277754356259
-0.5392176884534863,0.14293244565937122,0.3094594948687177,-0.634403538983228
-0.5269032521846843,0.1544263317662659,0.3240049036801183,-0.6176074708869673
-0.5149304300757831,0.16637400342886147,0.338593770850051,-0.6007952300411139
-0.5032807076269153,0.17877711628620782,0.3533143356879182,-0.5839915179806171
-0.49194023195884845,0.19160363917537282,0.36830436241278314,-0.5671170566774608
-0.480905291127182,0.204884956633756,0.38347622262424735,-0.5501903326736463
-0.4701537325340742,0.2186599536921953,0.39877701510965596,-0.5332401497303146
-0.4596795794763755,0.2329437172643149,0.41426433652952566,-0.5162539515899955
-0.44947040454896453,0.24775602669140417,0.4298711536142023,-0.49923834414173945
-0.4395124363399638,0.2631022313790263,0.44570531670240604,-0.48218810958269065
-0.42980395461133963,0.27899413375621224,0.4618021958526477,-0.46509183845792396
-0.4203330182367891,0.295474569079829,0.4781298488218525,-0.4479287269116576
-0.4110949145925014,0.31256413748692385,0.4947121360533255,-0.4306634510877243
-0.40208090672413477,0.3302923594890202,0.5115303291805662,-0.41326157793389456
-0.39328409650653423,0.3487092181001475,0.5286349969126204,-0.39572440361945904
-0.3846991071129135,0.3679145662562444,0.5460915834556597,-0.37813154538448984
-0.37632173646212713,0.3880715425724552,0.5639980443549293,-0.36065074348835996
-0.36815098270793556,0.40933941199196733,0.5824403511736691,-0.34346553633386423
-0.3601864445805552,0.43172269846670974,0.6013775313487738,-0.3265985151550698
-0.35242560632840014,0.4548780765545282,0.62054288788718,-0.309718634631453
-0.34485912200342195,0.47803865800906237,0.6394108199778706,-0.2920910313225782
-0.33746814903881206,0.5002480740614615,0.6573731378038575,-0.27282459902432415
-0.3302269083162602,0.5209574598124332,0.6741270054818977,-0.25141283809754117
-0.3231114758580128,0.5407966247271379,0.6901596604780146,-0.22837812626203136
-0.3161133221360487,0.5621212346626953,0.7070864748574291,-0.2056856674278845
-0.3092516869190731,0.5888651792796196,0.7274961961061931,-0.18647457394767697
-0.30257599218904707,0.6252715375936398,0.7539963762576035,-0.17371755805325215
-0.2961503164189843,0.673477946681659,0.7875801640428022,-0.16813161550677538
-0.290022540553132,0.7311031721101808,0.826316614308078,-0.1669299651167175
-0.28419672052906897,0.7910548384121844,0.8656654896078582,-0.16496127002790734
-0.2786286285457903,0.8445625279068015,0.9004668515684723,-0.15744789245059204
-0.2732452979916095,0.8854223960149311,0.9271950873743804,-0.14202222772174927
-0.26797254927109565,0.9122960700073398,0.9450947306549629,-0.11899613563355782
-0.2627548519820074,0.9278254641418815,0.9557525415884461,-0.09035356903117212
-0.2575608184537018,0.9359590622338978,0.9616071206112031,-0.05838727435635869
-0.25237696251534647,0.9398030487551283,0.9645552968302499,-0.024795169678172326
-0.24719811270373815,0.9410317448521247,0.9655232298592671,0.009449086821476457
-0.24202137794170756,0.9401834931735875,0.9647725748492907,0.0437671764872891
-0.2368443758107503,0.93674604476356,0.9620344468348343,0.07753289375274282
