# SPH Simulation Output - CSV Format v1
# Timestamp: 2025-11-15T22:00:19Z
# Simulation: SPH Simulation
#
# === Unit System ===
# Type: Code
# Length: code_length (1.0000000000000000e+00 cm)
# Mass: code_mass (1.0000000000000000e+00 g)
# Time: code_time (1.0000000000000000e+00 s)
# Velocity: code_velocity (1.0000000000000000e+00 cm/s)
#
# === Simulation State ===
# Step: 0
# Time (code): 0.0000000000000000e+00
# Time (physical): 0.0000000000000000e+00 code_time
# Particle Count: 450
#
# === Physics Parameters ===
# Gamma: 1.6666666670000001e+00
# G: 1.0000000000000000e+00
# Neighbor Number: 50
# SPH Type: Unknown
# Kernel: Unknown
# Gravity: disabled
# Balsara Switch: disabled
# Time-Dependent AV: disabled
#
# === Energy ===
# Kinetic: 0.0000000000000000e+00 [code units]
# Thermal: 8.2499999958750037e-01 [code units]
# Potential: 0.0000000000000000e+00 [code units]
# Total: 8.2499999958750037e-01 [code units]
#
# === Columns ===
# id: Particle ID
# pos_x, pos_y, pos_z: Position [code units]
# vel_x, vel_y, vel_z: Velocity [code units]
# acc_x, acc_y, acc_z: Acceleration [code units]
# mass: Particle mass [code units]
# dens: Density [code units]
# pres: Pressure [code units]
# ene: Specific internal energy [code units]
# sml: Smoothing length [code units]
# sound: Sound speed [code units]
# alpha: Artificial viscosity coefficient
# balsara: Balsara factor
# gradh: grad-h term factor
# phi: Gravitational potential [code units]
# neighbor: Number of neighbors
#
id,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,mass,dens,pres,ene,sml,sound,alpha,balsara,gradh,phi,neighbor
0,-4.9937500000000001e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0880870844419742e+04,1.0880870844419742e+04,1.2500000000000000e-03,1.6434952628133590e-03,1.2500000000000000e-03,1.6434952628133590e-03,9.8609715749079603e-04,1.4999999992499997e+00,8.5821601727949015e-01,6.3245553212854422e-01,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0
1,-4.9812499999999998e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1545078674279512e+02,1.1545078674279512e+02,1.2500000000000000e-03,2.3799408717697487e-01,1.2500000000000000e-03,2.3799408717697487e-01,1.4279645227762564e-01,1.4999999992499997e+00,8.8309829028534667e-03,6.3245553212854422e-01,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0
2,-4.9687500000000001e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2745782320080056e+02,2.2745782320080056e+02,1.2500000000000000e-03,2.3799408717697487e-01,1.2500000000000000e-03,2.3799408717697487e-01,1.4279645227762564e-01,1.4999999992499997e+00,8.8309829028534667e-03,6.3245553212854422e-01,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0
3,-4.9562499999999998e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3274799526407133e+02,3.3274799526407133e+02,1.2500000000000000e-03,2.3799408717697487e-01,1.2500000000000000e-03,2.3799408717697487e-01,1.4279645227762564e-01,1.4999999992499997e+00,8.8309829028534667e-03,6.3245553212854422e-01,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0
4,-4.9437500000000001e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2837766345700237e+02,4.2837766345700237e+02,1.2500000000000000e-03,2.3799408717697487e-01,1.2500000000000000e-03,2.3799408717697487e-01,1.4279645227762564e-01,1.4999999992499997e+00,8.8309829028534667e-03,6.3245553212854422e-01,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0
5,-4.9312499999999998e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0602125051628036e+02,5.0602125051628036e+02,1.2500000000000000e-03,2.3799408717697487e-01,1.2500000000000000e-03,2.3799408717697487e-01,1.4279645227762564e-01,1.4999999992499997e+00,8.8309829028534667e-03,6.3245553212854422e-01,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0
6,-4.9187500000000001e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.7796939739198376e+02,5.7796939739198376e+02,1.2500000000000000e-03,2.3799408717697487e-01,1.2500000000000000e-03,2.3799408717697487e-01,1.4279645227762564e-01,1.4999999992499997e+00,8.8309829028534667e-03,6.3245553212854422e-01,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0
7,-4.9062499999999998e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.3400939968322166e+02,6.3400939968322166e+02,1.2500000000000000e-03,2.3799408717697487e-01,1.2500000000000000e-03,2.3799408717697487e-01,1.4279645227762564e-01,1.4999999992499997e+00,8.8309829028534667e-03,6.3245553212854422e-01,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0
8,-4.8937500000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4131500512557354e+01,1.4131500512557354e+01,1.2500000000000000e-03,2.3799408717697487e-01,1.2500000000000000e-03,2.3799408717697487e-01,1.4279645227762564e-01,1.4999999992499997e+00,8.8309829028534667e-03,6.3245553212854422e-01,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0
9,-4.8812499999999998e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.4116846756755109e+01,9.4116846756755109e+01,1.2500000000000000e-03,2.3799408717697487e-01,1.2500000000000000e-03,2.3799408717697487e-01,1.4279645227762564e-01,1.4999999992499997e+00,8.8309829028534667e-03,6.3245553212854422e-01,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0
