# SPH Simulation Output - CSV Format v1
# Timestamp: 2026-01-12T20:06:33Z
# Simulation: SPH Simulation
#
# === Unit System ===
# Type: Code
# Length: code_length (1.0000000000000000e+00 cm)
# Mass: code_mass (1.0000000000000000e+00 g)
# Time: code_time (1.0000000000000000e+00 s)
# Velocity: code_velocity (1.0000000000000000e+00 cm/s)
#
# === Simulation State ===
# Step: 1
# Time (code): 0
# Time (physical): 0 code_time
# Particle Count: 31063
#
# === Physics Parameters ===
# Gamma: 1.6667
# G: 0.00430091
# Neighbor Number: 50
# SPH Type: Standard SPH
# Kernel: Wendland C4
# Gravity: enabled
# Balsara Switch: enabled
# Time-Dependent AV: disabled
#
# === Energy ===
# Kinetic: 3604.677716693467 [code units]
# Thermal: 8.636433150668958 [code units]
# Potential: -3658.952703935937 [code units]
# Total: -45.63855409180087 [code units]
#
# === Columns ===
# id: Particle ID
# pos_x, pos_y, pos_z: Position [code units]
# vel_x, vel_y, vel_z: Velocity [code units]
# acc_x, acc_y, acc_z: Acceleration [code units]
# mass: Particle mass [code units]
# dens: Density [code units]
# pres: Pressure [code units]
# ene: Specific internal energy [code units]
# sml: Smoothing length [code units]
# sound: Sound speed [code units]
# alpha: Artificial viscosity coefficient
# balsara: Balsara factor
# gradh: grad-h term factor
# phi: Gravitational potential [code units]
# grav_acc_x, grav_acc_y, grav_acc_z: Gravitational acceleration [code units]
# neighbor: Number of neighbors
# is_ghost: Ghost particle flag (0=real, 1=ghost)
#
id,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,mass,dens,pres,ene,sml,sound,alpha,balsara,gradh,phi,grav_acc_x,grav_acc_y,grav_acc_z,B_x,B_y,B_z,vy_mhd,vz_mhd,neighbor,is_ghost
0,-14.98962675159329,2.819963271106842,0.04039490773818795,7.176836370239323,-2.112786738219183,-0.1494310367586874,1.762409955246794,-0.3978832309181299,-0.3120240649633069,0.008197129225950924,1092.672118426246,40.41345880368386,0.05547607221365189,0.04473881105702261,0.2482828932984464,1,0.9685261724264843,1,-1.624736287303261,-0.2311035926969536,-0.2917459998559194,-0.7865989455428134,0,0,0,0,0,49,0
1,-15.02909297419693,2.814200059306351,0.05153859705648407,7.32987042268943,-2.088522194756733,-0.1801610087016184,2.001662109699914,-0.4085827375068433,-0.4065020086209985,0.008197129225950924,940.2578381879352,35.0826182991226,0.05596475163161252,0.04703618300470019,0.2493740368295329,1,0.979251627597103,1,-1.608997182682771,0.5528503430431456,-0.1581635856300759,-0.909837465292241,0,0,0,0,0,47,0
2,-15.01793946892693,2.783575641592063,0.06407297673690673,7.286771275760607,-1.982222461557448,-0.2211227699462617,1.96929742988179,-0.1857701450985084,-0.476148217725812,0.008197129225950924,829.8077700905521,30.64433604158644,0.05539139004093833,0.04903677420778549,0.2480933236005099,1,0.972943976423743,1,-1.597479351044473,0.3076158311081025,0.4112461819338807,-1.049016273744015,0,0,0,0,0,46,0
3,-14.98889333963406,2.779260098431853,0.05442717783571872,7.179272246254542,-1.959542199043997,-0.191886549039388,1.736494177934023,-0.1467467061944807,-0.3971892401825744,0.008197129225950924,906.1614883321114,33.74321566237863,0.05585350241719212,0.04761888169140021,0.2491260551479352,1,0.9691211221084659,1,-1.606158016218956,-0.2208264574781907,0.5187371190547106,-0.9445963135864734,0,0,0,0,0,45,0
4,-14.99040536950762,2.811755609264134,0.06227379486169272,7.185935044985613,-2.076768647113517,-0.2214563922043202,1.737065000947706,-0.3963649203141544,-0.4559285982615205,0.008197129225950924,913.6444630903231,33.73683062840514,0.0553855661048479,0.04748852166344571,0.2480802808005255,1,0.9666936076636574,1,-1.605325906885148,-0.1918603865868438,-0.1020005914505279,-1.07794138194988,0,0,0,0,0,43,0
5,-15.01667486590344,2.820306095024277,0.06443900996017279,7.281301387474536,-2.110595204703595,-0.2199925897072124,1.940362213893373,-0.4271618312219975,-0.4775486408433673,0.008197129225950924,859.6561217652932,31.71492192958011,0.05533608519702745,0.04846253624683472,0.2479694398248106,1,0.9740286096317662,1,-1.59917072911872,0.2968870766257382,-0.2629209482600003,-1.078884768438447,0,0,0,0,0,48,0
6,-15.00547900906917,2.801717956812039,0.05543147136388121,7.241415450752644,-2.043312871153899,-0.1956538812960204,1.891391125115621,-0.3059230545918198,-0.414824292055828,0.008197129225950924,975.4261096669057,36.25974681273178,0.05575706897227337,0.04646396491937498,0.248910898879406,1,0.9788036300111939,1,-1.61324154795423,0.09658107102468685,0.0944849662845995,-1.006445646223196,0,0,0,0,0,46,0
7,-15.0050058832133,2.8090154761874,0.001643134440606786,7.238785481170649,-2.068693605855024,-0.01311623763129451,1.882124838048174,-0.3761396880924281,-0.03478574727880308,0.008197129225950924,1317.888827266056,49.83178411463904,0.05671490449620489,0.04202955581084879,0.2510397812570628,1,0.9714604077242114,1,-1.645114742164677,0.1128178403183191,-0.06556234550795013,-0.04800492098120739,0,0,0,0,0,45,0
8,-15.02192721902384,2.795464083493524,0.04512479834547334,7.308260803870658,-2.01696739110649,-0.1651953069631513,1.919832798324759,-0.2894734555466881,-0.3341575495251904,0.008197129225950924,1018.344752913929,38.27332137094331,0.05637296361233572,0.04580182491357028,0.2502818628314919,1,0.9887332849575534,1,-1.617532549637452,0.4350070886723169,0.225078086641507,-0.8383290467807999,0,0,0,0,0,46,0
9,-14.99859228882567,2.793431412654946,0.0378434883394292,7.217268144612329,-2.006903711060823,-0.1380181235545534,1.813608443050573,-0.2811153175895076,-0.3023629794343099,0.008197129225950924,1108.331801979729,41.95731454712131,0.05678157485602313,0.04452710509369134,0.2511872909538145,1,0.9789542557988765,1,-1.627616060395234,-0.04299419344185806,0.2874979049814458,-0.7514533766753193,0,0,0,0,0,50,0
10,-14.98682572975415,2.774630718786893,0.03157645509846786,7.175051094542783,-1.934051962641779,-0.1151198071047912,1.680810624237181,-0.1057410129461223,-0.2625024085776327,0.008197129225950924,1015.732226745559,37.87723940912792,0.05593306677371022,0.04584105967107779,0.249303434357762,1,0.970820371651131,1,-1.62004480914322,-0.2819394349701319,0.6637047278025676,-0.6035503774021429,0,0,0,0,0,43,0
