# SPH Simulation Output - CSV Format v1
# Timestamp: 2026-01-12T21:07:01Z
# Simulation: SPH Simulation
#
# === Unit System ===
# Type: Code
# Length: code_length (1.0000000000000000e+00 cm)
# Mass: code_mass (1.0000000000000000e+00 g)
# Time: code_time (1.0000000000000000e+00 s)
# Velocity: code_velocity (1.0000000000000000e+00 cm/s)
#
# === Simulation State ===
# Step: 45
# Time (code): 0.8828987695699162
# Time (physical): 0.8828987695699162 code_time
# Particle Count: 31063
#
# === Physics Parameters ===
# Gamma: 1.6667
# G: 0.00430091
# Neighbor Number: 50
# SPH Type: Standard SPH
# Kernel: Wendland C4
# Gravity: enabled
# Balsara Switch: enabled
# Time-Dependent AV: disabled
#
# === Energy ===
# Kinetic: 7099.238402060839 [code units]
# Thermal: 58.84870189787691 [code units]
# Potential: -7265.909369975795 [code units]
# Total: -107.8222660170795 [code units]
#
# === Columns ===
# id: Particle ID
# pos_x, pos_y, pos_z: Position [code units]
# vel_x, vel_y, vel_z: Velocity [code units]
# acc_x, acc_y, acc_z: Acceleration [code units]
# mass: Particle mass [code units]
# dens: Density [code units]
# pres: Pressure [code units]
# ene: Specific internal energy [code units]
# sml: Smoothing length [code units]
# sound: Sound speed [code units]
# alpha: Artificial viscosity coefficient
# balsara: Balsara factor
# gradh: grad-h term factor
# phi: Gravitational potential [code units]
# grav_acc_x, grav_acc_y, grav_acc_z: Gravitational acceleration [code units]
# neighbor: Number of neighbors
# is_ghost: Ghost particle flag (0=real, 1=ghost)
#
id,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,mass,dens,pres,ene,sml,sound,alpha,balsara,gradh,phi,grav_acc_x,grav_acc_y,grav_acc_z,B_x,B_y,B_z,vy_mhd,vz_mhd,neighbor,is_ghost
0,-7.589741670456251,0.8295560263644507,0.007421105199674941,10.25288126153647,-2.465758095499039,-0.008381589332182686,7.510626655224946,-1.125047983406203,-0.3428008729708267,0.008197129225950924,20683.81898321912,7091.913699851306,0.5143337275784147,0.01678691209089505,0.7559906903113431,1,0.3505209783687235,1,-3.162598342340261,-0.4148436542947125,-2.481317159449013,-3.019238784550909,0,0,0,0,0,47,0
1,-7.601738134545318,0.8237659079437814,0.01541971713170928,10.27441687931347,-2.505841615098281,-0.001629404498255027,6.617676087008193,0.5169314306029634,-0.434757291043789,0.008197129225950924,17711.47035126803,6033.595507377404,0.5108270068534709,0.01767785307672097,0.7534091151078084,1,0.503145552695628,1,-3.116496578667268,3.816459338504625,-0.1516936418473941,-5.444869966817323,0,0,0,0,0,50,0
2,-7.597656078427075,0.819579909549782,0.02431123355185917,10.26902668330968,-2.490539198401564,0.01366043229680672,6.758041806657239,-0.6646938738234781,-0.4229535167314564,0.008197129225950924,15434.8774392896,5539.209403451848,0.5383234054618223,0.01850745336855902,0.7734203174058349,1,0.3086803264256761,1,-3.0659119051861,2.275913666159845,1.263121075976302,-7.570392333320357,0,0,0,0,0,49,0
3,-7.58778359650645,0.8169907783054657,0.01571725758092445,10.27873721543463,-2.507862025576292,0.01377136111897691,7.34776093854732,-1.719985072421913,0.3272849887574985,0.008197129225950924,18281.54894181973,6170.526348643939,0.506274591893466,0.01749215817155556,0.7500444665493531,1,0.343135364584495,1,-3.127082876763885,-1.081334054699262,2.438331263308569,-5.535093272246385,0,0,0,0,0,49,0
4,-7.586082028456745,0.8308593663621161,0.0155407186085319,10.25022306176208,-2.522246397728202,-0.01590675305711511,7.474898349181291,-0.4524440651439803,1.431708857784308,0.008197129225950924,18180.72221864773,6016.250775150826,0.4962542742875117,0.01752443460568613,0.7425848343477638,1,0.1742798686168471,1,-3.121639962701077,-1.635870192597065,-2.766206686698882,-5.472721822471009,0,0,0,0,0,47,0
5,-7.603017083695714,0.8322002780269401,0.0168169524240352,10.21845794447777,-2.496794217386431,-0.02660654413933639,8.349322309042872,-0.6531267648231315,0.1211811231715253,0.008197129225950924,15945.19218926454,5754.124363535172,0.5412382476794311,0.01830786941977224,0.7755113975077685,1,0.3718152031379162,1,-3.08947021939843,4.017501415999003,-3.029859622379527,-5.606858698420379,0,0,0,0,0,48,0
6,-7.599098036670048,0.8267414190804337,0.02241596651453503,10.2691115381273,-2.495599155398214,-0.005214400091824874,8.242339649516103,-0.5744637845166115,-0.1091830193554757,0.008197129225950924,15720.62581348741,5190.256216595971,0.4951985061010312,0.01839463248868836,0.7417944987151517,1,0.1933252029802676,1,-3.076693696442772,2.753921877439984,-1.179674326369588,-7.157156613378172,0,0,0,0,0,49,0
7,-7.594374038635418,0.8224217999576796,-0.004672305585121686,10.28422720453226,-2.522650441949652,-0.01630469899709954,7.511948750344761,-0.4144619514938144,-0.2258326256867908,0.008197129225950924,22537.07822509895,7292.102161799479,0.4852870462017176,0.01631355162162264,0.7343334216827295,1,0.1849447433094151,1,-3.18280859620522,1.362901745757984,0.4278935015724222,1.598263375011346,0,0,0,0,0,47,0
8,-7.595451017735722,0.8190808517315483,0.01637449293187518,10.26099550824197,-2.510249607158128,0.01206581661612041,7.144139310058406,-2.148836323538377,-0.8259483773777201,0.008197129225950924,18304.41008164805,6069.636639390797,0.4973460210813092,0.01748487290937539,0.7434012194711929,1,0.6654131975233554,1,-3.12542648373295,1.718800345348898,1.619112532039158,-5.772308726157251,0,0,0,0,0,47,0
9,-7.591739398637738,0.8258192692668676,0.0163807044349186,10.26085735166967,-2.507630527618954,-0.0230606571922851,6.94727228940984,-1.689276507229185,-1.436699433524387,0.008197129225950924,19005.82117996146,6687.016636873833,0.5276874623071549,0.01726707780685412,0.7657417616324739,1,0.3295905605232544,1,-3.13057856183488,0.3900313335019532,-0.9779320059747013,-5.79353451951562,0,0,0,0,0,48,0
